,Driver,DriverNumber,Team,LapTime_s,Sector1Time_s,Sector2Time_s,Sector3Time_s,SpeedFL,Compound,LapTime,Gap_to_Best_s
0,LEC,16,Ferrari,94.753,24.811,28.523,41.419,260.0,SOFT,0 days 00:01:34.753000,0.0
1,ANT,12,Mercedes,94.76,25.089,28.746,40.925,276.0,SOFT,0 days 00:01:34.760000,0.007
2,HAM,44,Ferrari,94.926,24.816,28.488,41.622,274.0,SOFT,0 days 00:01:34.926000,0.173
3,RUS,63,Mercedes,95.101,25.019,28.661,41.421,277.0,SOFT,0 days 00:01:35.101000,0.348
4,PIA,81,McLaren,95.635,25.041,28.949,41.645,267.0,SOFT,0 days 00:01:35.635000,0.882
5,NOR,1,McLaren,95.708,25.106,28.88,41.722,274.0,SOFT,0 days 00:01:35.708000,0.955
6,VER,3,Red Bull Racing,95.774,25.132,29.135,41.507,273.0,SOFT,0 days 00:01:35.774000,1.021
7,HAD,6,Red Bull Racing,96.912,25.244,29.573,42.095,282.0,SOFT,0 days 00:01:36.912000,2.159
8,COL,43,Alpine,97.278,25.497,29.625,42.156,281.0,SOFT,0 days 00:01:37.278000,2.525
9,OCO,31,Haas F1 Team,97.363,25.463,29.618,42.282,273.0,MEDIUM,0 days 00:01:37.363000,2.61
10,BEA,87,Haas F1 Team,97.374,25.378,29.567,42.429,278.0,MEDIUM,0 days 00:01:37.374000,2.621
11,BOR,5,Audi,97.8,25.721,29.856,42.223,277.0,MEDIUM,0 days 00:01:37.800000,3.047
12,LAW,30,Racing Bulls,97.882,25.559,29.782,42.541,274.0,HARD,0 days 00:01:37.882000,3.129
13,SAI,55,Williams,97.913,25.962,29.662,42.289,276.0,HARD,0 days 00:01:37.913000,3.16
14,HUL,27,Audi,98.027,25.742,29.744,42.541,275.0,MEDIUM,0 days 00:01:38.027000,3.274
15,ALB,23,Williams,98.158,25.592,29.597,42.969,276.0,SOFT,0 days 00:01:38.158000,3.405
16,GAS,10,Alpine,98.349,25.971,29.767,42.611,274.0,MEDIUM,0 days 00:01:38.349000,3.596
17,LIN,41,Racing Bulls,98.475,25.804,30.031,42.64,276.0,MEDIUM,0 days 00:01:38.475000,3.722
18,ALO,14,Aston Martin,98.487,25.589,30.453,42.445,266.0,HARD,0 days 00:01:38.487000,3.734
19,STR,18,Aston Martin,98.532,25.863,29.875,42.794,263.0,MEDIUM,0 days 00:01:38.532000,3.779
20,PER,11,Cadillac,98.862,25.757,30.275,42.83,278.0,SOFT,0 days 00:01:38.862000,4.109
21,BOT,77,Cadillac,99.262,26.159,30.349,42.754,274.0,MEDIUM,0 days 00:01:39.262000,4.509
